"","Date","location","operator","planeType","Dead","Aboard","Ground"
"2579","1970-07-03","McGrath, Alakska","Reeder Flying Service","Douglas DC-3",5,27,0
"2580","1970-07-03","Near Arbucias, Gerona, Spain","Dan Air Services","de Havilland Comet 4",112,112,0
"2581","1970-07-05","Toronto, Canada","Air Canada","McDonnell Douglas DC-8-63",109,109,0
"2582","1970-07-18","North Atlantic Ocean","Military - Soviet Air Force","Antonov AN-22",23,23,0
"2583","1970-07-24","Lincoln, New Mexico","Del Rio Flying Service - Air Taxi","Cessna 310J",7,7,0
"2584","1970-07-27","Tokyo, Japan","Flying Tiger Line","McDonnell Douglas DC-8-63AF",4,4,0
"2585","1970-07-30","Pau, France","Military - Forces Militaires Fran????aises","Nord 2501 Noratlas",37,37,0
"2586","1970-08-03","Near Las Vegas, Nevada","Military - United States Navy","Lockheed P-3A Orion",10,10,0
"2587","1970-08-06","Islamabad, Pakistan","Pakistan International Airlines","Fokker F-27 Friendship 200",30,30,0
"2588","1970-08-09","Near Cuzco, Peru","Lineas Aereas Nacionales SA (Peru)","Lockheed 188A Electra",99,100,2
"2589","1970-08-12","Taipei, Taiwan","China Airlines (Taiwan)","NAMC YS-11A-219",14,31,0
"2590","1970-08-26","Near Tam Ky, South Vietnam","Military - U.S. Army","Boeing Vertol CH47B (helicopter)",30,32,0
"2591","1970-08-29","Near Silchar, India","Indian Airlines","Fokker F-27 Friendship 400",39,39,0
"2592","1970-08-30","Haringvreter, Netherlands","Dutch Continental Airways","Britten-Norman BN-2A Islander",3,10,0
"2593","1970-09-02","Lihovka, Ukraine","Aeroflot","Tupolev Tu-124",37,37,0
"2594","1970-09-02","Near Dnepropetrovsk, Ukraine, USSR","Aeroflot","Tupolev TU-124",37,37,0
"2595","1970-09-03","Near Leningrad, USSR","Aeroflot","Yakovlev YAK-40",22,22,0
"2596","1970-09-08","New York, New York","Trans International Airlines","McDonnell Douglas DC-8-63CF",11,11,0
"2597","1970-09-09","Orocovis, Puerto Rico","San Juan Air","Britten-Norman BN-2A Islander",1,1,0
"2598","1970-09-22","Cranbrook, Canada","Eagle Flight - Air Taxi","Cessna T337B",4,4,0
"2599","1970-09-26","Near Vagar, Faeroe Islands, Denmark","Icelandair","Fokker F-27 Friendship 300",8,34,0
"2600","1970-09-30","Near Da Nang, Vietnam","Air Vietnam (South Vietnam)","Douglas DC-3-DST",38,38,0
"2601","1970-10-01","Mys-Kammenyj, Russia","Aeroflot","Antonov An-12B",8,8,0
"2602","1970-10-02","Mt. Trelease, near Silver Plume, Colorado","Charter, Golden Eagle Aviation Inc.","Martin 404",32,40,0
"2603","1970-10-02","Near Taipei, Taiwan","Military - U.S. Air Force","Lockheed C-130E",43,43,0
"2604","1970-10-04","Mahaffey, Pennsylvania","Private","Aero Commander 500-B",2,2,0
"2605","1970-10-06","Near Germiston, South Africa","National Airways","Douglas DC-3",3,11,0
"2606","1970-10-10","Fort Dix, New Jersey","Saturn Airways","Lockheed L-100-20 Hercules",3,3,0
"2607","1970-10-16","New Castle, Delaware","Delaware Aviation - Air Taxi","Piper PA-28R",2,2,0
"2608","1970-10-28","Pointe-????-Pitre, Guadeloupe","Aerocosta Colombia","Curtiss C-46D",2,4,0
"2609","1970-11-14","Near Huntington, West Virginia","Southern Airways","McDonnell Douglas DC-9-31",75,75,0
"2610","1970-11-24","Nar Can Tho, South Vietnam","Military - Vietnamese Air Force / Military - U.S. Army","de Havilland RU-6A Beaver /Bell UH-1H",18,18,0
"2611","1970-11-27","Anchorage, Alaska","Capitol Airlines","McDonnell Douglas DC-8-63CF",47,229,0
"2612","1970-11-27","Near Nha Trang, South Vietnam","Military - U.S. Air Force","Fairchild C-123K",79,79,0
"2613","1970-11-29","Near Cam Ranh, South Vietnam","Military - U.S. Air Force","Fairchild C-123K",42,44,0
"2614","1970-12-02","Dhaka, Bangladesh","Cargolux","Canadair CL-44J",4,4,0
"2615","1970-12-05","Delhi, India","Jamair","Douglas DC-3",5,16,0
"2616","1970-12-07","Near Constanta, Romania","Tarom","BAC One-Eleven  424EU",18,27,0
"2617","1970-12-19","Panarah, Pakistan","Military - Russian Air Force","Antonov AN-22",17,17,0
"2618","1970-12-28","St. Thomas, Virgin Islands","Trans Caribbean Airways","Boeing B-727-2A7",2,55,0
"2619","1970-12-31","Leningrad, USSR","Aeroflot","Ilyushin IL-18B",93,93,0
"2620","1970-12-31","Near Shemshernagar,  Pakistan","Pakistan International Airlines","Fokker F-27 Friendship 200",7,35,0
"2621","1970-12-31","Off Algiers, Algeria","Rousseau Aviation","Nord 262E",31,31,0
"2622","1971-01-02","Ben Gashir, Libya","United Arab Airlines","de Havilland Comet 4C",16,16,0
"2623","1971-01-09","Edison, New Jersey","American Airlines / Private","Boeing B-707-323 / Cessna 150",2,21,0
"2624","1971-01-18","Zurich, Switzerland","Balkan Bulgarian Airlines","Ilyushin IL-18",45,47,0
"2625","1971-01-21","Near Privas, France","L'Arm????e de L'Air","Nord 262A-34",21,21,0
"2626","1971-01-21","Near Pacae, Peru","Fuerza A????rea del Peru","Curtiss-Wright C-46",35,35,0
"2627","1971-01-22","Surgut, USSR","Aeroflot","Antonov AN-12B",14,14,0
"2628","1971-01-23","Near Sokcho, South Korea","Korean Airlines","Fokker F-27 Friendship 500",2,60,0
"2629","1971-01-25","Merida, Venezuela","Linea Aeropostal Venezolana","Vickers Viscount 749",18,48,0
"2630","1971-01-31","Voroshilovgrad, Russia","Aeroflot","Antonov AN-10",7,7,0
"2631","1971-02-07","Aguadilla, Puerto Rico","Jamie Ramirez - Air Taxi","Piper PA-28",3,3,0
"2632","1971-02-17","Mt. Cunatineuta, Ecuador","TAM (Transportes Aereos Militares)","Curtiss C-46",12,12,0
"2633","1971-03-26","Gauhati, India","Jamair","Douglas DC-3",15,15,0
"2634","1971-03-31","Vorochilovgrad, Ukraine","Aeroflot","Antonov An-10",65,65,0
"2635","1971-03-31","Ontario, California","Western Airlines","Boeing B-720-047B",5,5,0
"2636","1971-04-15","Near San Jose, Philippines","Military - Philippine Air Force","Douglas C-47A",39,40,0
"2637","1971-04-20","Kayenta, Arizona","Monument Valle - Air Taxi","Cessna TU206B",2,2,0
"2638","1971-04-21","C. Amalie, Virgin Islands","Costal Airway","Beech E18S",8,8,0
"2639","1971-04-22","Manchester, New Hampshire","New England Aviaiton","Beechcraft C35",4,4,0
"2640","1971-05-06","Coolidge, Arizona","Apache Airlines - Air Taxi","de Havilland 104-7X",12,12,0
"2641","1971-05-11","Guatemala City, Guatemala","Aviateca","Curtiss C-46A-55-CK",5,35,0
"2642","1971-05-12","Anaktvk Pass, Alaska","Gay Airways - Air Taxi","Sud Aviation SA 318C",2,4,0
"2643","1971-05-23","Near Rijeka, Yugoslavia","Aviogenex (Yugoslavia)","Tupolev TU-134A",78,83,0
"2644","1971-05-25","Santiago, Chile","	Aerolineas Flecha Austral - ALFA","Curtiss C-46",4,4,0
"2645","1971-05-26","Near Capetown, South Africa","Military - South African Air Force","Hawker Siddeley HS 125-400B (3)",11,11,0
"2646","1971-05-28","Roanoke, Virginia","Private","Aero Commander 680E",6,6,0
"2647","1971-06-06","Near Duarte, California","Hughes Airwest  / Military - US Marine Air Corps","McDonnell Douglas DC-9-31 / F4-B",50,51,0
"2648","1971-06-07","New Haven, Connecticut","Allegheny Airlines","Convair CV-580",28,31,0
"2649","1971-06-13","North Pacific Ocean","Military - U.S. Air Force","Boeing - EC-135N",24,24,0
"2650","1971-06-17","Near Arica, Chile","SAVCO","Douglas DC-6",6,6,0
"2651","1971-06-28","Garberville, California","Shelter Cove Sea Park","Douglas DC-3",17,24,0
"2652","1971-07-03","Hokkaido, Japan","Toa Domestic Airline (Japan)","NAMC YS-11A-227",68,68,0
"2653","1971-07-21","Anchorage, Alaska","Anchorage Helicopter - Air Taxi","Bell 206",3,3,0
"2654","1971-07-24","Near Bamako, Mali","Air Ivoire","Douglas DC-3",6,6,0
"2655","1971-07-25","Near Irkutsk, Russia","Aeroflot","Tupolev TU-104B",97,126,0
"2656","1971-07-25","Manila, Philippines","Pan American World Airways","Boeing 707-321CF",4,4,0
"2657","1971-07-30","Near Morioko, Japan","All Nippon Airways /  Japanese Air Force","Boeing B-727-281 / Air Force F86F",163,164,0
"2658","1971-07-30","San Francisco, California","Pan American World Airways","Boeing B-747-121",0,218,0
"2659","1971-07-30","Near Pau, France","Military - French Air Force","Nord 2501 Noratlas",37,39,0
"2660","1971-08-11","Irkutsk, USSR","Aeroflot","Tupolev TU-104",100,100,0
"2661","1971-08-12","Valdez, Alaska","Trans Alaska Helicopter - Air Taxi","Sikorsky S-55B",2,2,0
"2662","1971-08-18","Near Pegnitz, West Germany","Military - U.S. Army","Boeing Vertol CH-47A (helicopter)",37,37,0
"2663","1971-08-19","Augusta, Maine","Downeast Airlines","Piper PA-31",3,8,0
"2664","1971-08-28","Off Copenhagen, Denmark","Malev Hungarian Airlines","Ilyushin IL-18D",32,34,0
"2665","1971-09-04","Near Juneau, Alaska","Alaska Airlines","Boeing B-727-193",111,111,0
"2666","1971-09-06","Near Hasloh, Germany","Pan International","BAC One-Eleven 515FB",22,121,0
"2667","1971-09-15","Jackson, Mississippi","C and C Aviation - Air Taxi","Aero Commander 560-A",5,5,0
"2668","1971-09-16","Kiev, Ukraine, USSR","Malev Hungarian Airlines","Tupolev TU-134A",49,49,0
"2669","1971-09-16","Presevo, Russia","Yemen Airlines","Douglas DC-3",5,5,0
"2670","1971-09-17","Rila mountain, Bulgaria","Balkan Bulgarian Airlines","Antonov An-14",8,9,0
"2671","1971-09-28","Sena Madureira, Brazil","Cruzeiro","Douglas DC-3",32,32,0
"2672","1971-10-02","Near Aarsele, West Vlaanderen, Belgium","British European Airways","Vickers Vanguard 951",63,63,0
"2673","1971-10-10","Moscow, Russia","Aeroflot","Tupolev TU-104B",25,25,0
"2674","1971-10-16","Colorado City, Arizona","Scenic Air Lines","Cessna 402",10,10,0
"2675","1971-10-16","Hot Springs, Virginia","Alpena Flying Service - Air Taxi","Swearingen SA26AT",6,6,0
"2676","1971-10-17","San Vicente del Caguan, Colombia","Aerolineas TAO","Douglas C-47A",19,21,0
"2677","1971-10-21","Peoria, Illinois","Chicago and Southern Airlines","Beech E18S",16,16,0
"2678","1971-10-23","Near Qui Nhon, South Vietnam","Military - Vietnamese Air Force","Douglas C-47",31,31,0
"2679","1971-10-24","Bath, Pennsylvania","Monmouth Airways","Beechcraft B99",4,8,0
"2680","1971-11-09","Off Livorno, Italy","Military - Royal Air Force","Lockheed C-130K Hercules",52,52,0
"2681","1971-11-10","Off Padang, Indonesia","Merpati Nusantara Airlines","Vickers Viscount 828",69,69,0
"2682","1971-11-12","Vinnitsa, Russia","Aeroflot","Antonov AN-24",48,48,0
"2683","1971-11-21","Near Penghu Island, Taiwan","China Airlines (Taiwan)","Sud Aviation SE-210 Caravelle III",25,25,0
"2684","1971-11-28","Near Hue, South Vietnam","Military - U.S. Army","Boeing Vertol CH-47C",34,34,0
"2685","1971-12-01","Saratov, Russia","Aeroflot","Antonov AN-24",57,57,0
"2686","1971-12-04","Raleigh, North Carolina","Eastern Air Lines","Douglas DC-9-31 /Cessna 206",2,29,0
"2687","1971-12-06","Tikaka, Sudan","Sudan Airways","Fokker F-27 Friendship 200",10,42,0
"2688","1971-12-09","Chinnamanur, India","Indian Airlines","HAL-748-224 Srs.2",21,31,0
"2689","1971-12-21","Sofia, Bulgaria","Balkan Bulgarian Airlines","Ilyushin IL-18B",28,73,0
"2690","1971-12-24","Near Puerto Inca, Huanuco, Peru","Lineas Aereas Nacionales SA (Peru)","Lockheed 188A Electra",91,92,0
"2691","1972-01-06","Near Chetumal, Mexico","SAESA","Hawker Siddeley HS-748-230 Srs. 2A",23,23,0
"2692","1972-01-07","Sierra de Atalayasa, Spain","Iberia Airlines","Sud-Aviation Caravelle VI-R",104,104,0
"2693","1972-01-18","Chambers, Nebraska","Kime Flying Service - Air Taxi","Piper PA-23",3,3,0
"2694","1972-01-21","Near Adana, Turkey","Turkish Airlines (THY)","Mc Donnell Douglas DC-9-32",1,8,0
"2695","1972-01-21","Near Betania, Colombia","SATENA","Douglas C-47",39,39,0
"2696","1972-01-21","Near Funza, Colombia","Lineas A????reas la Urraca","Vickers Viscount 837",20,20,0
"2697","1972-01-26","Near Srbsk???? Kamenice, Czech Republic","JAT Yugoslav Airlines","McDonnell Douglas DC-9-32",27,28,0
"2698","1972-02-01","Near Tegal, Indonesia","Royal Air Laos/PENAS","Douglas DC-6",6,9,0
"2699","1972-02-04","Pha Khao, Laos","Air America","de Havilland Canada C-7A Caribou",1,38,0
"2700","1972-02-04","BattleMountain, Nevada","Clarkes Thunder - Air Taxi","Beechcraft S35",2,2,0
"2701","1972-02-05","Near Valledupar, Colombia","TAC Colombia","Fairchild F-27",19,19,0
"2702","1972-02-11","Near Vientiane, Laos","Royal Air Lao","Douglas DC-4",23,23,0
"2703","1972-02-16","Jackson, Mississippi","Hankins Airways - Air Taxi","Beechcraft D 18S",2,2,0
"2704","1972-02-19","Little Rock, Arkansas","Military - U.S. Air Force","Lockheed C-130E Hercules",5,7,0
"2705","1972-02-20","Fairfield, Idaho","Sun Valley Airways - Air Taxi","Beechcraft 65-B80",4,4,0
"2706","1972-02-22","Molokai, Hawaii","Alii Air Hawaii - Air Taxi","Beechcraft D 18S",8,8,0
"2707","1972-03-03","Albany, New York","Mohawk Airlines","Fairchild-Hiller FH-227-B",16,48,1
"2708","1972-03-13","Fort Worth, Texas","Military - U.S. Air Force","Boeing KC-135A",5,5,0
"2709","1972-03-14","Near Al Fujayrah, United Arab Emirates","Sterling Airways","Aerospatiale Caravelle Super 10B",112,112,0
"2710","1972-03-19","Shamsam Mountains, South Yemen","Egyptair","McDonnell Douglas DC-9-32",22,22,0
"2711","1972-03-28","Near Tchepone, Laos","Military - U.S. Air Force","Lockheed AC-130A Hercules",14,14,0
"2712","1972-04-06","Near San Fernando, Venezuela","AVENSA","Curtiss C-46F",2,2,0
"2713","1972-04-12","Near Rio de Janeiro, Brazil","VASP","NAMC YS-11A-211",25,25,0
"2714","1972-04-16","Near Ardinello di Amaseno, Italy","Aero Transporti Italiani","Fokker F-27 Friendship 200",18,18,0
"2715","1972-04-17","New York, New York","Helaire Helicopter","Bell 47J-2",3,3,0
"2716","1972-04-18","Addis Ababa, Ethiopia","East African Airways","BAC Super VC-10 1154",43,107,0
"2717","1972-04-20","Near Moyobamba, Peru","SATCO","Douglas C-47D",6,6,0
"2718","1972-04-24","Nyot Mo, Laos","Air America","Pilatus PC6CH2",4,10,0
"2719","1972-04-26","Near An Loc, Vietnam","Military - U.S. Air Force","Lockheed C-130E Hercules",6,6,0
"2720","1972-05-04","Bratsk, USSR","Aeroflot","Yakovlev YAK-40",18,18,0
"2721","1972-05-05","Near Carini, Sicily, Italy","Alitalia","McDonnell Douglas DC-8-43",115,115,0
"2722","1972-05-08","Venezuela","Aerotechnia","Douglas C-47B",7,7,0
"2723","1972-05-10","Near Gia Dinh, South Vietnam","Military - U.S. Army","Boeing Vertol CH47A (helicopter)",34,34,0
"2724","1972-05-16","Svetlogorsk, Russia","Military - Russian Navy","Antonov An-26",9,9,25
"2725","1972-05-18","Near Kharkov, Ukraine, USSR","Aeroflot","Antonov AN-10A",122,122,0
"2726","1972-05-19","Albuquerque, New Mexico","Ross Aviation - Air Taxi","Beechcraft 65-B80",9,9,0
"2727","1972-05-21","Lobito, Angola","DTA Angola Airlines","Fokker F-27 Friendship 200",22,25,0
"2728","1972-05-27","Near Helgoland, Germany","General Air","de Havilland Canada DHC-6 Twin Otter",8,13,0
"2729","1972-05-29","Dulac, Louisiana","Petrolium Helicopter","Bell 205A",11,11,0
"2730","1972-05-29","Cruzeiro do Sul Acre, Brazil","Amazonese Importacao e Exportacao","Lockheed 049 Constellation",9,18,0
"2731","1972-05-30","Dallas/Ft. Worth, Texas","Delta Air Lines","McDonnell Douglas DC-9-14",4,4,0
"2732","1972-06-01","Valdez, Alaska","Fairbanks Air - Air Taxi","Cessna U206C",2,2,0
"2733","1972-06-03","Winfield, Kansas","Smyer Aircraft - Air Taxi","Beechcraft E18S",2,2,0
"2734","1972-06-03","Near Jesbel Musa, Morocco","Military - U.S. Navy","Lockheed P-3A Orion",14,14,0
"2735","1972-06-05","Near Pleiku, Vietnam","Air America","Curtiss C-46A",32,32,0
"2736","1972-06-13","Santiago, Chile","Aerolineas Flecha Austral","Curtiss C-46D",3,3,0
"2737","1972-06-13","Near an Loc, South Vietnam","Military - Vietnamese Air Force","Boeing Vertol CH-47 (helicopter)",47,47,0
"2738","1972-06-14","Near New Delhi, India","Japan Air Lines","McDonnell Douglas DC-8-53",82,87,4
"2739","1972-06-15","Near Pleiku, South Vietnam","Cathay Pacific Airways","Convair CV-880-22M-21",81,81,0
"2740","1972-06-18","Smiley, Texas","Air Central","Cessna 182N",5,5,0
"2741","1972-06-18","London Heathrow,  Staines, Surrey, England","British European Airways","Hawker Siddeley Trident 1C",118,118,0
"2742","1972-06-18","Hu????, Vietnam","Military - U.S. Air Force","Lockheed AC-130A Hercules",12,15,0
"2743","1972-06-24","Ponce, Puerto Rico","Prinair","de Havilland DH-114 Heron 2B",5,20,0
"2744","1972-06-25","Hornell, New York","Seventy Airways - Air Taxi","Hughes 369HS",3,3,0
"2745","1972-06-29","Appleton, Wisconsin","North Central Airlines / Air Wisconsin","Convair CV-580/De Hav. Twin Otter 100",13,13,0
"2746","1972-06-29","Blackpool, England","Inter City Flug","MBB HFB-320 Hansa Jet",7,8,0
"2747","1972-06-30","Steamboat, Nevada","Casino Air - Air Taxi","Beechcraft U206C",2,5,0
"2748","1972-07-05","San Francisco, California","Pacific Southwest Airlines","Boeing 737-200",3,86,0
"2749","1972-07-06","Off Las Palmas, Canary Islands, Spain","Aviaco","McDonnell Douglas DC-8-52",10,10,0
"2750","1972-07-11","Near Quang Tri, South Vietnam","Military - U.S. Marine Corps","Sikorsky CH-53D (helicopter)",52,67,0
"2751","1972-07-11","Near Grytoya, Norway","Military - Royal Norwegian Air Force","de Havilland Canada DHC-6 Twin Otter 100",19,19,0
"2752","1972-07-20","Corfu Island, Greece","Charter","Sud-Aviation SE210 Caravelle",1,84,0
"2753","1972-07-29","Villavicencio, Colombia","AVIANCA / AVIANCA","Douglas DC-3 / Douglas DC-3",38,38,0
"2754","1972-08-12","Near Delhi, India","Indian Airlines","Fokker F-27 Friendship 100",18,18,0
"2755","1972-08-12","Near Soc Trang, South Vietnam","Military - U.S. Air Force","Lockheed C-130E",30,44,0
"2756","1972-08-14","Near Konigs Wusterausen, East Germany","Interflug","Ilyushin IL-62",156,156,0
"2757","1972-08-16","Near Sandoway, Burma","Burma Airways","Douglas DC-3 (C-47A-DK)",26,31,0
"2758","1972-08-27","Canaima, Venezuela","Lineas Areas Venezolanas","Douglas C-47-DL",34,34,0
"2759","1972-08-28","Papua, New Guinea","Military - Royal Australian Air Force","de Havilland Canada DHC-4 Caribou",25,29,0
"2760","1972-08-31","Near Magnitogorsk, Russia","Aeroflot","Ilyushin IL-18",102,102,0
"2761","1972-09-01","Mt. Giluwe, Papua, New Guinea","Ansett Airlines of Papua New Guinea","Shorts SC-7 Skyvan 3-300",4,4,0
"2762","1972-09-07","Trinidad, Bolivia","Servicios Aereas Virgen de Copacabana","Curtiss C-46A-40-CU",1,8,0
"2763","1972-09-10","Gondar, Ethiopia","Ethiopian Airlines","Douglas DC-3",11,11,0
"2764","1972-09-13","Near Dhulikhel, Nepal","Military - Royal Nepalese Air Force","Douglas C-47",31,31,0
"2765","1972-09-24","Sacramento, California","Private","F-86 Sabrejet",0,1,22
"2766","1972-09-24","Near Ben Cat, South Vietnam","Air Vietnam (South Vietnam)","Douglas C-54D-1-DC",10,13,0
"2767","1972-09-30","Madrid, Spain","Spantax","Douglas C-47B",1,6,0
"2768","1972-10-01","Near Adler, USSR","Aeroflot","Ilyushin IL-18B",108,108,0
"2769","1972-10-02","Kampot, Cambodia","Cambodia Air","Douglas DC-3",9,9,0
"2770","1972-10-12","North Atlantic Ocean","Flamingo Airlines - Air Taxi","Aero Commander 680E",2,2,0
"2771","1972-10-13","Near Moscow, USSR","Aeroflot","Ilyushin IL-62",174,174,0
"2772","1972-10-13","Near San Fernando, Chile","Uruguayan Air Force - TAMU","Fairchild-Hiller FH-227D/LCD",29,45,0
"2773","1972-10-16","Off the Alaska coast","Private","Cessna 310C",4,4,0
"2774","1972-10-21","Off Athens, Greece","Olympic Airways","NAMC YS-11A-202",37,53,0
"2775","1972-10-23","Tanna, Vanuatu","Air Melanesie","Britten-Norman BN-2A-6 Islander",1,8,0
"2776","1972-10-27","Near Noiretable, Loire, France","Air Inter","Vickers Viscount 724",60,68,0
"2777","1972-10-30","Poggiorsini, Italy","Aero Transporti Italiani","Fokker F-27 Friendship 200",27,27,0
"2778","1972-10-31","Near My Tho, South Vietnam","Military - U.S. Army","Boeing Vertol CH-47 (helicopter)",22,22,0
"2779","1972-11-04","Near Plovdiv, Bulgaria","Balkan Bulgarian Airlines","Ilyushin IL-14P",35,35,0
"2780","1972-11-17","Elkton, Kentucky","Metro Air Systems","Beech G18S",11,11,0
"2781","1972-11-28","Near Moscow, Russia","Japan Air Lines","McDonnell Douglas DC-8-62",62,76,0
"2782","1972-11-29","St. Paul, Minnesota","Luthi Aviation - Air Taxi","Beechcraft C-45H",2,2,0
"2783","1972-12-03","Tenerife,  Canary Islands","Spantax","Convair CV-990-30A-5 Coronado",155,155,0
"2784","1972-12-05","Beni Sueif, Egypt","EgyptAir","Boeing 707-336C",6,6,0
"2785","1972-12-05","Myrtle Beach, South Carolina","Military - U.S. Air Force","Lockheed C-130E Hercules",12,12,0
"2786","1972-12-06","Near  Lac Randall, Quebec ,Canada","Superior Airways","Douglas C-47B-15-DK",3,3,0
"2787","1972-12-08","Near Rawalpindi, Pakistan","Pakistan International Airlines","Fokker F-27 Friendship 400",26,26,0
"2788","1972-12-08","Midway Airport, Chicago, Illinois","United Air Lines","Boeing B-737-222",43,61,2
"2789","1972-12-15","Detroit, Michigan","Zantop Airways","Learjet 23",2,2,1
"2790","1972-12-20","Chicago, Illinois","Delta Air Lines/ North Central Airlines","Convair CV-880 / McDonnell DC-9-31",10,133,0
"2791","1972-12-21","Near Pakse, Laos","Military - U.S. Air Force","Lockheed AC-130A Hercules",14,16,0
"2792","1972-12-21","Off St. Maarten off, Netherlands Antilles","Air Guadeloupe","de Havilland Canada DHC-6 Twin Otter 300",13,13,0
"2793","1972-12-23","Skaugum, Norway","Braathens","Fokker F-28 Fellowship 1000",40,45,0
"2794","1972-12-29","Everglades National Park, Florida","Eastern Air Lines","Lockheed L-1011 TriStar 1",103,176,0
"2795","1972-12-31","San Juan, Puerto Rico","American Express Leasing","Douglas DC-7CF",5,5,0
"2796","1973-01-02","Edmonton, Alberta, Canada","Pacific Western Airlines","Boeing 707-321C",5,5,0
"2797","1973-01-19","Near Glasgow, Scotland","British European Airways","Vickers 802 Viscount",4,4,0
"2798","1973-01-21","Perm, Russia","Aeroflot","Antonov An-24B",39,39,0
"2799","1973-01-22","Kano, Nigeria","Alia Royal Jordanian Airlines","Boeing B-707-3D3C",176,202,0
"2800","1973-01-27","Townsend, Tennessee","Air Transit - Air Taxi","Cessna 182B",3,4,0
"2801","1973-01-27","Near Tegucigalpa, Honduras","TAN","Douglas DC-6A",3,3,0
"2802","1973-01-29","Near Kyrenia, Cyprus","Egyptair","Ilyushin IL-18D",37,37,0
"2803","1973-01-31","Kasigluk, Alaska","Harry Faulkner - Air Taxi","Cessna 180H",2,2,0
"2804","1973-02-12","Walla Walla, Washington","Red Carpet Flying Service - Air Taxi","Cessna 320E",4,4,0
"2805","1973-02-19","Prague, Czechoslovakia","Aeroflot","Tupolev TU-154",66,100,0
"2806","1973-02-19","Morgan City, Louisiana","Petrolium Helo Inc.","Bell 206B",5,5,0
"2807","1973-02-21","Cerro Horqueta, Panama","Aerovias Urraca","Douglas DC-3",22,28,0
"2808","1973-02-21","Near Isma'iliya, Egypt","Libya Arab Airlines","Boeing B-727-224",110,113,0
"2809","1973-02-22","Londonderry, Vermont","Air Taxi","Cessna 310J",2,2,0
"2810","1973-02-24","Near Leningrad, Russia","Aeroflot","Ilyushin IL-18",79,79,0
"2811","1973-02-28","Near Nabire, Indonesia","Merpati Nusantara Airlines","de Havilland Canada DHC-6 Twin Otter 100",13,13,0
"2812","1973-02-28","Szczecin, Poland","Military - Polish Air Force","Antonov An-24B",15,15,0
"2813","1973-02-28","Near Szczecin, Poland","Military - Polish Air Force","Antonov AN-24B",18,18,0
"2814","1973-02-28","Semipalatinsk, Kazakhstan","Aeroflot","Yakovlev YAK-40",32,32,0
"2815","1973-03-03","Moscow, USSR","Balkan Bulgarian Airlines","Ilyushin IL-18V",25,25,0
"2816","1973-03-05","Off Funchal, Portugal","Aviaco","Sud Aviation SE-210 Caravelle",3,3,0
"2817","1973-03-05","Near Nantes, France","Lineas Aereas de Espana/Spantax SA Transportes","MD Douglas DC-9-32/Convair CV-990A",68,182,0
"2818","1973-03-07","Near Ban Hong Sa, Laos","Air America","Fairchild C-123",4,4,0
"2819","1973-03-15","Off Brunswick, Maine","Military - U.S. Navy","Lockheed P-3B Orion",5,5,0
"2820","1973-03-15","Hyderabad, India","Indian Airlines","HAL-748-224",3,3,0
"2821","1973-03-19","Ben Me Thuot, South Vietnam","Air Vietnam (South Vietnam)","Douglas C-54D",62,62,0
"2822","1973-04-10","Near Basel,  Switzerland","Invicta International Airlines (UK)","Vickers Vanguard 952",108,145,0
"2823","1973-04-12","Moffett AFB, California","Military - U.S. Navy / NASA","Lockheed P-3C / Convair CV-990-30A-5",16,17,0
"2824","1973-04-18","Bamiyan, Afghanistan","Bakhtar Afghan Airlines","de Havilland Canada DHC-6 Twin Otter 100",4,19,0
"2825","1973-04-19","Davenport, Iowa","Air Iowa","Beech E18S",6,6,0
"2826","1973-05-11","Near Semipalatinsk, USSR","Aeroflot","Ilyushin IL-18B",61,61,0
"2827","1973-05-11","Greenville, Maine","Air Taxi","Cessna 402B",6,6,0
"2828","1973-05-16","Deadhorse, Alaska","Winship Air Service - Air Taxi","Swearingen SA26T",2,5,0
"2829","1973-05-18","Chita, Siberia, USSR","Aeroflot","Tupolev TU-104A",81,81,0
"2830","1973-05-19","Svay Rieng, Cambodia","Cambodia Air","Douglas C-47A",11,11,0
"2831","1973-05-29","Near Rimouski, Prov. Quebec, Canada","Air Gasp????","Douglas DC-3",4,4,0
"2832","1973-05-29","Near Lagoinha, Brazil","Amazonense","Lockheed Constellation",9,NA,NA
"2833","1973-05-31","Near New Delhi, India","Indian Airlines","Boeing B-737-2A8",48,65,0
"2834","1973-06-01","Sao Luis, Brazil","Cruzeiro","Sud Aviation SE-210 Caravelle VIN",23,23,0
"2835","1973-06-03","Goussainville, France","Aeroflot","Tupolev TU-144",6,6,8
"2836","1973-06-09","Rio de Janeiro, Brazil","Varig","Boeing 707-327C",2,4,0
"2837","1973-06-20","Near Puerto Vallarta, Mexico","Aeromexico","McDonnell Douglas DC-9-15",27,27,0
"2838","1973-06-30","Amman, Jordan","Aeroflot","Tupolev TU-134A",2,85,7
"2839","1973-07-04","Near Shakhtyorsk, Russia","Aeroflot","Ilyushin IL-14",18,18,0
"2840","1973-07-09","Nnear Kuybyshev, Russia","Aeroflot","Tupolev TU-124V",2,61,0
"2841","1973-07-11","Paris, Orly Airport, France","Varig","Boeing B-707-345C",123,134,0
"2842","1973-07-22","Off Papeete, Tahiti","Pan American World Airways","Boeing B-707-321B",78,79,0
"2843","1973-07-23","St. Louis, Missouri","Ozark Air Lines","Fairchild-Hiller FH-227B",38,44,0
"2844","1973-07-24","Honolulu, HI","Air Hawaii","Volpar C45G",5,5,0
